name;pattern;enable;required
x-frame-options;^(deny|SAMEORIGIN)$;1;1
access-control-allow-origin;^((?!\*).)*$;1;1
access-control-allow-methods;;0;0
access-control-allow-headers;;0;0
access-control-max-age;;0;0
content-security-policy;^(?=.*upgrade-insecure-requests)(?=.*reflected-xss).*$;1;1
content-security-policy-report-only;^(?=.*upgrade-insecure-requests)(?=.*reflected-xss).*$;1;1
x-content-security-policy;^(?=.*upgrade-insecure-requests)(?=.*reflected-xss).*$;1;1
content-encoding;^((?!(gzip|deflate)).)*$;1;0
public-key-pins;;1;1
referrer-policy;^((?!(|unsafe-url)).)*$;1;1
strict-transport-security;^((?!max-age=0).)*$;1;1
x-content-type-options;^(?=.*nosniff).*$;1;1
x-download-options;^(?=.*noopen).*$;1;1
x-permitted-cross-domain-policies;^none$;1;1
x-xss-protection;^1$;1;1
